ID,Name,Start time,Duration,Place,Address,Tickets link,Description 1,Hashtags,Prices lower,Prices upper,End time
91,Коза-Дереза,2024-02-18 12:00:00,70,Перший академічний український театр для дітей та юнацтва,"вул. Гнатюка, 11",https://widget.kontramarka.ua/uk/widget510site13224/widget/event/96769?utm_referrer=lviv.kontramarka.ua/uk/kozadereza-86459.html&siteShowId=86459&siteEventId=191841,,,90,110,2024-02-18 13:10:00
92,Коза-Дереза,2024-02-27 12:00:00,70,Перший академічний український театр для дітей та юнацтва,"вул. Гнатюка, 11",https://widget.kontramarka.ua/uk/widget510site13224/widget/event/96773?utm_referrer=lviv.kontramarka.ua/uk/kozadereza-86459.html&siteShowId=86459&siteEventId=191842,,,90,110,2024-02-27 13:10:00
93,Привид замку Кентервіль,2024-02-02 12:00:00,100,Перший академічний український театр для дітей та юнацтва,"вул. Гнатюка, 11",https://widget.kontramarka.ua/uk/widget510site13224/widget/event/96755?utm_referrer=lviv.kontramarka.ua/uk/privid-zamku-kentervil-86464.html&siteShowId=86464&siteEventId=191834,За оповіданням «Кентервільський привид» Оскара Вайлда,,90,100,2024-02-02 13:40:00
94,Привид замку Кентервіль,2024-02-13 12:00:00,100,Перший академічний український театр для дітей та юнацтва,"вул. Гнатюка, 11",https://widget.kontramarka.ua/uk/widget510site13224/widget/event/96763?utm_referrer=lviv.kontramarka.ua/uk/privid-zamku-kentervil-86464.html&siteShowId=86464&siteEventId=191835,За оповіданням «Кентервільський привид» Оскара Вайлда,,90,100,2024-02-13 13:40:00
95,Маленька Баба-Яга,2024-02-04 12:00:00,140,Перший академічний український театр для дітей та юнацтва,"вул. Гнатюка, 11",https://widget.kontramarka.ua/uk/widget510site13224/widget/event/96756?utm_referrer=lviv.kontramarka.ua/uk/malenka-babaaga-86463.html&siteShowId=86463&siteEventId=191832,За казкою Отфріда Пройслера,#Пригоди #Казка ,90,110,2024-02-04 14:20:00
96,Маленька Баба-Яга,2024-02-28 12:00:00,140,Перший академічний український театр для дітей та юнацтва,"вул. Гнатюка, 11",https://widget.kontramarka.ua/uk/widget510site13224/widget/event/96774?utm_referrer=lviv.kontramarka.ua/uk/malenka-babaaga-86463.html&siteShowId=86463&siteEventId=191833,За казкою Отфріда Пройслера,#Пригоди #Казка ,90,110,2024-02-28 14:20:00
97,Деякі ґатунки орлів,2024-02-04 19:00:00,123,Перший академічний український театр для дітей та юнацтва,"вул. Гнатюка, 11",https://widget.kontramarka.ua/uk/widget508site11278/widget/event/95827?utm_referrer=lviv.kontramarka.ua/uk/deaki-gatunki-orliv-teatr-starenkij-tramvaj-88113.html&siteShowId=88113&siteEventId=190575,"Після бурхливої ночі в пабі двоє чоловіків прокидаються в одному ліжку. В одного все болить по-страшному. Інший – дуже задоволений. Один - відомий шоумен з телебачення, а інший працює в доставці піци.",#Драма ,200,500,2024-02-04 21:03:00
98,Деякі ґатунки орлів,2024-02-05 19:00:00,123,Перший академічний український театр для дітей та юнацтва,"вул. Гнатюка, 11",https://widget.kontramarka.ua/uk/widget508site11278/widget/event/95826?utm_referrer=lviv.kontramarka.ua/uk/deaki-gatunki-orliv-teatr-starenkij-tramvaj-88113.html&siteShowId=88113&siteEventId=190574,"Після бурхливої ночі в пабі двоє чоловіків прокидаються в одному ліжку. В одного все болить по-страшному. Інший – дуже задоволений. Один - відомий шоумен з телебачення, а інший працює в доставці піци.",#Драма ,200,500,2024-02-05 21:03:00
99,Літаючі жінки,2024-02-06 18:00:00,150,Перший академічний український театр для дітей та юнацтва,"вул. Гнатюка, 11",https://widget.kontramarka.ua/uk/widget511site13023/widget/event/99424?utm_referrer=lviv.kontramarka.ua/uk/litauci-zinki-85046.html&siteShowId=85046&siteEventId=194816,Чого хочуть чоловіки?,#Комедія ,120,390,2024-02-06 20:30:00
100,Сонячний зайчик,2024-02-08 12:00:00,60,Перший академічний український театр для дітей та юнацтва,"вул. Гнатюка, 11",https://widget.kontramarka.ua/uk/widget510site13224/widget/event/96759?utm_referrer=lviv.kontramarka.ua/uk/sonacnij-zajcik-86457.html&siteShowId=86457&siteEventId=191836,за мотивами казки Всеволода Нестайка «Сонячний зайчик і Сонячний вовк»,,90,100,2024-02-08 13:00:00
